MSG:1:6	저기요~!\n묵고 싶은데요~
MSG:1:7	오, 드디어 왔군
MSG:1:8	아까부터 부르는데\n좀처럼 안 나와{D}\n<04>{B}<00>도 같이 불러 줘
MSG:1:9	어라?\n당신은\n아까 그…
MSG:1:10	안내해 주려고\n했더니, 당신이\n뛰어가 버려서 말이지
MSG:1:11	흐응…\n뭐, 됐어
MSG:1:12	당분간\n이 마을에 있으면서{D}\n레어 아이템을\n찾을 거니까{D}\n방 좀 빌려줘
MSG:1:13	레어 아이템?
MSG:1:14	희귀한\n아이템\n말이야
MSG:1:15	그래요\n꽤 좋네요{D}\n그럼\n이쪽 방으로
MSG:1:16	자, 여기예요\n그럼, 편히 쉬세요…
MSG:1:17	으악!\n뭐야~{6:46}
MSG:1:18	마음껏 아이템을\n찾게 해 주마{D}\n살아남을 수 있다면 말이지…\n하하하…
MSG:1:19	아야야…
MSG:1:20	뭐, 뭐야?\n여긴
MSG:1:21	어이 <04>{B}<00>!\n약 같은 게\n떨어져 있어!
MSG:1:22	당장\n마셔 보자고!
MSG:1:23	괜찮다니까\n봐 봐
MSG:1:24	어디 보자…
MSG:1:25	오~\n포션이야~…
MSG:1:26	오, 저쪽에도 뭔가가…
MSG:1:27	오!\n이번엔 돈이다!{D}\n아무래도 온 보람이\n있었나 봐
MSG:1:28	여전히 둔하구나~{D}\n뭔지는 모르겠지만\n여긴 던전 안이야{D}\n게다가 느닷없이 보물이라고
MSG:1:29	에휴~!\n진짜 둔하다니까{D}\n그러니까, 여기에는\n뭔가 레어 아이템이\n잠들어 있다는 거야{D}\n정말~\n알아듣고 있는 거야?
MSG:1:30	응? 저건?
MSG:1:31	으아아, 뭐야~!
MSG:1:32	응?\n뭐야, 초코보잖아…
MSG:1:33	엥?\n초코보?
MSG:1:34	어, 어째서 이런 곳에\n초코보가 있는 거야
MSG:1:35	엥? 나 말이야?\n나는 <04>크레르<00>라고 해
MSG:1:36	그래서, 너는?\n어떻게\n여기 온 거야?
MSG:1:37	여관 안에서 왔다고?\n…잠깐, 그게 뭐야!
MSG:1:38	밀짚모자 쓴 초코보라\n큰일이\n나기 시작했네
MSG:1:39	그런데 어째서\n위험한 곳으로\n내려오는 거야?
MSG:1:40	헤에~ 모그리랑 희귀한\n아이템을 찾고 있구나{D}\n확실히, 여기라면\n있을지도 몰라
MSG:1:41	희귀하다니까 생각났는데\n여기 안에는 책이라는\n아이템이 있어
MSG:1:42	그 책을 읽으면 신기한\n힘이 나와{D}\n손에 넣으면\n읽어 보라고
MSG:1:43	처음엔 작은 힘밖에\n안 나오지만{D}\n읽다 보면 익숙해져서 더 큰\n힘이 나오게 돼
MSG:1:44	이런, 벌써 시간이네\n그럼, 조심해서 내려가
MSG:1:45	와! 와와와!!
MSG:1:46	또, 또 있어
MSG:1:47	엥?\n그냥 내려왔을 뿐이라고?
MSG:1:48	엥?\n이게 뭐냐고?
MSG:1:49	이건 말이야\n<02>리사이클 박스<00>라고 해
MSG:1:50	엥?\n어떻게 쓰냐고?
MSG:1:51	후후~응\n어떻게 하냐면
MSG:1:52	아이템을 2개 넣으면\n돼
MSG:1:53	아이템을 2개 넣으면\n아이템이 1개 나와
MSG:1:54	그럼 안녕
MSG:1:55	아, 맞다 맞다
MSG:1:56	발톱이나 안장은\n제대로 장비하고 있어?
MSG:1:57	장비하지 않으면\n소용없어
MSG:1:58	여어\n자주 만나네
MSG:1:60	너도, 참 질리지도 않네
MSG:1:61	이건 말이야\n<02>용광로<00>라고 해
MSG:1:62	이걸로\n발톱이나 안장의 LV를\n올리는 거야
MSG:1:63	쓰는 법은 이래
MSG:1:64	먼저, 단련하고 싶은\n발톱이나 안장을 골라
MSG:1:65	다음에, 섞을\n발톱이나 안장을 골라
MSG:1:66	그리고, 용광로에\n불을 붙이는 거야
MSG:1:67	엥?\n어떻게 불을\n붙이냐고?
MSG:1:68	그건 말이야, 책을 쓰는 거야
MSG:1:69	아무거나 좋으니까\n써 봐
