ATTR:0	·불 속성 부여
ATTR:1	·얼음 속성 부여
ATTR:2	·번개 속성 부여
ATTR:3	·바람 속성 부여
ATTR:4	·불+얼음 속성 부여
ATTR:5	·불+번개 속성 부여
ATTR:6	·불+바람 속성 부여
ATTR:7	·얼음+번개 속성 부여
ATTR:8	·얼음+바람 속성 부여
ATTR:9	·번개+바람 속성 부여
ATTR:10	·불+얼음+번개 속성 부여
ATTR:11	·불+얼음+바람 속성 부여
ATTR:12	·불+번개+바람 속성 부여
ATTR:13	·얼음+번개+바람 속성 부여
ATTR:14	·불+얼음+번개+바람 속성 부여
ATTR:15	·완전 4속성 능력 부여
ATTR:16	·용 타입 특효 능력 부여
ATTR:17	·거인 타입 특효 능력 부여
ATTR:18	·망자 타입 특효 능력 부여
ATTR:19	·부유 타입 특효 능력 부여
ATTR:20	·식물 타입 특효 능력 부여
ATTR:21	·독 타입 특효 능력 부여
ATTR:22	·개구리 상태 전투 능력 부여
ATTR:25	·앞뒤 범위 공격 능력 부여
ATTR:26	·앞 3칸 범위 공격 능력 부여
ATTR:27	·주위 전체 범위 공격 능력 부여
ATTR:28	·앞뒤좌우 범위 공격 능력 부여
ATTR:29	·앞 3칸과 대각선 뒤 공격 능력 부여
ATTR:30	·정면 2칸 범위 공격 능력 부여
ATTR:31	·발톱 ATB 마이너스 능력 부여
ATTR:34	·발톱 ATB 보조 능력 부여
ATTR:35	·미스 예방 능력 부여
ATTR:38	·레벨 수 역전 능력 부여
ATTR:40	·공격력 업(발톱 ATB 플러스)
ATTR:41	·공격력 업(미스가 나기 쉽다)
ATTR:42	·HP가 같은 숫자면 공격력 업
ATTR:43	·HP 양에 따른 공격력 업
ATTR:48	·크리티컬 히트 능력 부여
ATTR:53	·아이템 수에 따른 공격력 업
ATTR:55	·연속 공격 능력 부여
ATTR:56	·레벨 4배수 몬스터에 데스 부여
ATTR:59	·레벨 3배수 몬스터에 데스 부여
ATTR:60	·ATB 바 리셋 능력 부여
ATTR:61	·몬스터 튕겨 날리기 능력 부여
ATTR:62	·준 대미지 반사 능력 부여
ATTR:63	·공격 성공 시 HP 회복 능력 부여
ATTR:64	·공격 성공 시 HP 회복 능력(대)
ATTR:65	·공격 성공 시 경험치 겟 능력 부여
ATTR:66	·공격 성공 시 경험치 겟 능력(대)
ATTR:67	·잠재우기 능력 부여
ATTR:68	·혼란시키기 능력 부여
ATTR:69	·중독시키기 능력 부여
ATTR:70	·지치게 하기 능력 부여
ATTR:71	·석화시키기 능력 부여
ATTR:72	·특수 성장 능력 부여
ATTR:77	·길 획득 능력 부여
ATTR:78	·몬스터가 물건을 떨어뜨리는 능력 부여
ATTR:79	·수수께끼 능력 부여
ATTR2:16	·숨결 공격 방어 능력 부여
ATTR2:17	·괴음파 방어 능력 부여
ATTR2:18	·몬스터 공격 미스 유도 능력 부여
ATTR2:19	·방어력 업(공격 미스 유도)
ATTR2:20	·특방어 업(발톱 ATB 플러스)
ATTR2:23	·특방어 업 능력 부여
ATTR2:29	·아이템 수에 따른 방어력 업
ATTR2:32	·폭발 대미지 경감 능력 부여
ATTR2:33	·대형 몬스터 공격 경감 능력 부여
ATTR2:34	·길을 써서 대미지 경감 능력 부여
ATTR2:35	·대미지 양 도박 능력 부여
ATTR2:36	·혼란 방어 능력 부여
ATTR2:39	·독 방어 능력 부여
ATTR2:40	·잠 방어 능력 부여
ATTR2:41	·피로 방어 능력 부여
ATTR2:42	·침묵 방어 능력 부여
ATTR2:43	·슬로 방어 능력 부여
ATTR2:44	·기운 오래가기 능력 부여
ATTR2:47	·바닥 함정 회피 능력 부여
ATTR2:48	·저주로부터 보호 능력 부여
ATTR2:49	·카운터 반격 능력 부여
ATTR2:50	·HP 보조 능력 부여
STAT:0	가지고 있는 아이템이 모두 식별됐다
STAT:1	{7:01}에 오일을 발라 봤다
STAT:2	샘이 회복됐다
