MSG:0:0	<02>세이브<00>할까요?¶
MSG:0:1	<02>세이브<00> 중입니다\n<02>메모리 카드<00>를\n빼지 마세요¶
MSG:0:2	소지금 {7:06}길¶
MSG:0:3	 <02>세이브<00>에 실패했습니다
MSG:0:4	<02>메모리 카드<00>가\n꽂혀 있지 않습니다
MSG:0:5	 예\n 아니오
MSG:0:6	몇 층으로 내려갈까요?¶
MSG:0:7	함정이지롱~{7:00}
MSG:0:8	   용광로   ¶
MSG:0:9	리사이클 박스¶
MSG:0:10	아야야야\n이번엔 또 뭐야~
MSG:0:11	뭐야, 여관 앞이잖아{D}\n응?\n여관 앞이라고?
MSG:0:12	뭐, 속아 넘어간 건\n어쩔 수 없지
MSG:0:13	아무래도 저 밀짚모자 쓴\n초코보가 이 던전의\n주인인 것 같아
MSG:0:14	그런 건 이제 와서\n아무래도 좋아
MSG:0:15	요컨대, 저 던전\n안에는 레어 아이템이\n잔뜩 있을지도 모른다\n이거지
MSG:0:16	그럼, 난 살 만한 곳을\n찾아볼 테니까{D}\n<04>{B}<00>, 넌 던전에\n내려갈 준비를 해 둬{D}\n그럼 나중에 봐
MSG:0:17	여어\n어서 와
MSG:0:18	합성소에 잘 왔어\n뭘 합성할까?
MSG:0:19	너구나?{D}\n아까 그 엄청\n활기찬 모그리의\n친구라는 게
MSG:0:20	활기찬 모그리라면\n촌장님 댁에 갔어{D}\n아, 맞다 맞다{D}\n조만간 색다른\n장사를 시작할 테니까{D}\n그때\n와 줘
MSG:0:21	촌장님 댁 말이야?{D}\n우리 집 바로\n왼쪽 집이야{D}\n거기 <04>포크<00> 씨가\n이 마을 촌장이지
MSG:0:22	아직 이 기계가\n안 움직여
MSG:0:23	이 기계는 금방\n녹이 슬어 버려{D}\n뭔가 좋은 아이템\n없으려나
MSG:0:24	아아아아, 아\n그그, 그 카드는\n뭐, 뭐야?
MSG:0:25	아니야\n이게 아니야
MSG:0:26	오오!\n이건!
MSG:0:27	역시 그렇군\n이거야!
MSG:0:28	너!\n이거 굉장해!
MSG:0:29	앗!\n미안
MSG:0:30	카드, 멋대로\n써 버렸어
MSG:0:31	그래도 기계가 움직였으니\n용서해 줘
MSG:0:32	그 대신\n1번은 공짜로 해 줄게
MSG:0:33	아, 이 기계 설명을\n안 했지
MSG:0:34	그래, 이 기계야말로\n도구와 도구를 섞어서\n새 도구로 만드는 기계야
MSG:0:35	응?\n잘 모르겠다고?
MSG:0:36	음~ 간단히 말하자면
MSG:0:37	네가 가진 그 발톱\n그래, 발톱을 2개 넣으면\n새 발톱으로 다시 태어나지
MSG:0:38	네가 가진 그 안장\n그래, 안장을 2개 넣으면\n새 안장으로 다시 태어나지
MSG:0:39	장비품을 2개 넣으면\n새 물건으로 다시 태어나지
MSG:0:40	…발톱?\n너, 그 발톱은 어디서\n손에 넣은 거야?
MSG:0:41	…안장?\n너, 그 안장은 어디서\n손에 넣은 거야?
MSG:0:42	그러고 보니, 너\n그건 뭐야?\n어디서 손에 넣었어?
MSG:0:43	그건 비밀?
MSG:0:44	궁금하잖아\n알려 줘
MSG:0:45	안 돼?
MSG:0:46	으음~\n궁금하다~
MSG:0:47	뭐라고?\n던전이라고?
MSG:0:48	으음~\n<04>카미라 아빠<00>도 걱정이지만\n던전도 궁금하네
MSG:0:49	1번 공짜로 해 주기로\n약속했었지
MSG:0:50	이거 {7:00}개면 될까?¶
MSG:0:51	{7:00}길\n필요한데 괜찮겠어?¶
MSG:0:52	요즘 또 상태가 안 좋아\n그 카드의 효과가\n다 떨어졌나?
MSG:0:53	자, 계속 찾아와 줘\n돈을 더 모아서{D}\n<04>사니아<00>를 여기로 불러\n함께 살 거야
MSG:0:54	드디어 <04>사니아<00>가 와 줬어\n앞으로도 이 가게에서\n합성해 줘
MSG:0:55	처음 뵙겠습니다\n<04>사니아<00>라고 해요
MSG:0:56	늘 <04>라스크<00>가\n신세 지고 있어요
MSG:0:57	저도 열심히 할 테니\n당신도 힘내세요
MSG:0:58	어떻게 할래?\n2개 합성?\n아니면 3개?¶
MSG:0:59	2개\n3개\n그만둔다
MSG:0:60	어라?\n그 카드는 뭐야?\n잠깐 보여 줘
MSG:0:61	이, 이건!
MSG:0:62	앗! 미안\n또 저질렀어
MSG:0:63	이걸 줄 테니까\n용서해 줘
MSG:0:64	그냥 만들어 본 건데\n아마 쓸 만할 거야
MSG:0:65	아마 아이템을 1개\n지상 어딘가로 옮겨 줄 거야{D}\n예정대로라면 너희 집으로\n돌아올 거야
MSG:0:66	무슨 일이야?\n또 텔레포 박스가 필요해?
MSG:0:67	자, 이거면 됐어
MSG:0:68	실은, 기계를\n파워업했어
MSG:0:69	합성할 때 씨앗이나 열매를\n같이 섞을 수 있게 됐어
MSG:0:70	<04>위즈<00>가\n힌트를 줬거든
MSG:0:71	합성할 때 같이 넣으면\n발톱이나 안장의 능력을\n합칠 수 있는 씨앗이\n있다나 봐
MSG:0:72	다만 능력은 2개까지만\n합성할 수 있지만
MSG:0:73	찾으면 뭐든지\n시험해 보라고
MSG:0:74	실은 곧 가족이\n늘 것 같아요
MSG:0:75	오랜만이에요\n아이들은 금방 자라네요
MSG:0:76	<04>카키아<00>!{D}\n이리 와서\n인사드리렴
MSG:0:77	아, 안녕하세요
MSG:0:78	메롱~
MSG:0:79	요 녀석!\n<04>카키아<00>, 거기 서!
MSG:0:80	정말~!\n누굴 닮았담
MSG:0:81	나인가…
MSG:0:82	아이 키우기는 힘들어요\n그래도 즐거워요
MSG:0:83	모두 무사했지만\n던전은 남았네
MSG:0:84	던전이 있으니까\n가게를 계속할 수 있어
MSG:0:85	모두 무사해서\n다행이에요
MSG:0:86	던전이 사라지지 않은 게\n잘된 건지, 잘못된 건지{D}\n저는 모르겠어요
MSG:0:87	던전이 뭐야?
MSG:0:88	재밌어?¶
MSG:0:89	그럼 나도\n들어가 볼래
MSG:0:90	뭐야\n시시해
MSG:0:91	……
MSG:0:92	안 돼\n돈이 없으면
MSG:0:93	나는 창고지기\n<04>위즈<00>라고 해
MSG:0:94	혹시 네가\n<04>{B}<00>?
MSG:0:95	아까 모그리\n<04>아트라<00>가 왔었어
MSG:0:96	조만간 아이템을\n잔뜩 가지고\n올 테니까{D}\n창고를 비워 달라고\n하더라고
MSG:0:97	혹시\n던전이라도\n찾은 걸까?
MSG:0:98	돈이 모이면\n또 와
MSG:0:99	그래그래, 나는\n창고지기야{D}\n어때, 창고를\n빌려 보지 않을래?
MSG:0:100	창고 1개에 아이템이\n10개 들어가
MSG:0:101	어때, 창고 1개\n{7:00}길이야\n빌릴래?¶
MSG:0:102	필요해지면\n오면 돼
MSG:0:103	매번 고마워~
MSG:0:104	맡긴다\n꺼낸다\n그만둔다
MSG:0:105	 위즈의 창고 ¶
MSG:0:106	이제 주머니가 가득 찼어
MSG:0:107	너무 무리하지 말고\n천천히 하면 돼
MSG:0:108	도르가 이 마을의\n새 주민이 됐어
MSG:0:109	귀여운 주민이 늘어서\n기쁘기 그지없어
MSG:0:110	그나저나 <04>카미라 아빠<00>는\n괜찮은 걸까
MSG:0:111	<04>카미라 아빠<00>가\n살았다 싶었더니{D}\n이번엔 <04>아트라<00>인가
MSG:0:112	아, 그건 화분이구나\n화분이나 꽃에 대해선\n<04>카미라<00>가 잘 알아
MSG:0:113	<04>미르<00> 씨는 <04>도르<00> 군과\n함께 산대
MSG:0:114	<04>도르<00> 군도 기뻐 보여
MSG:0:115	<04>도르<00> 군과 <04>미르<00> 씨에게\n아이가 태어났어{D}\n그것도 6마리나
MSG:0:116	그나저나 <04>아트라<00>는\n괜찮은 걸까
MSG:0:117	으음~\n또 던전이 나타났어
MSG:0:118	아무래도 사로잡힌 건\n밭의 허수아비인가 봐
MSG:0:119	마음 하나에서 솟아난\n욕망이 아닐지도 몰라
MSG:0:120	수많은 작은 욕망이\n모여 있는 듯한\n느낌이야
MSG:0:121	어쩐지 알 것 같아{D}\n저 던전은\n허수아비를 통해 전해진{D}\n마을 모두의 마음이야
