CARD:0	구멍 난 카드
CARD:1	구부러진 카드
CARD:2	곰팡이 핀 카드
CARD:3	잘린 카드
CARD:4	구겨진 카드
CARD:5	닳은 카드
CARD:6	휘어진 카드
CARD:7	찢어진 카드
CARD:8	진흙 묻은 카드
CARD:9	번진 카드
CARD:10	젖은 카드
CARD:11	낡은 카드
CARD:12	해진 카드
CARD:13	새 목걸이
CARD:14	멋진 목걸이
CARD:15	괜찮은 목걸이
CARD:16	큰 목걸이
CARD:17	세련된 목걸이
CARD:18	폼 나는 목걸이
CARD:19	촌스러운 목걸이
CARD:20	귀여운 목걸이
CARD:21	더러운 목걸이
CARD:22	이끼 낀 목걸이
CARD:23	울퉁불퉁 목걸이
CARD:24	공들인 목걸이
CARD:25	녹슨 목걸이
CARD:26	수수한 목걸이
CARD:27	밋밋한 목걸이
CARD:28	심플한 목걸이
CARD:29	섹시한 목걸이
CARD:30	후진 목걸이
CARD:31	작은 목걸이
CARD:32	반들반들 목걸이
CARD:33	매끈한 목걸이
CARD:34	가시 달린 목걸이
CARD:35	진흙투성이 목걸이
CARD:36	나이스 목걸이
CARD:37	화려한 목걸이
CARD:38	헐렁한 목걸이
CARD:39	낡은 목걸이
CARD:40	이상한 목걸이
CARD:41	때 묻은 목걸이
CARD:42	우스운 목걸이
CARD:43	일그러진 목걸이
CARD:44	요란한 목걸이
CARD:45	달콤매콤 열매
CARD:46	달콤한 열매
CARD:47	싱거운 열매
CARD:48	맛나 보이는 열매
CARD:49	딱딱한 열매
CARD:50	단단한 열매
CARD:51	곰팡내 열매
CARD:52	매운 열매
CARD:53	냄새나는 열매
CARD:54	맛없는 열매
CARD:55	물컹한 열매
CARD:56	고소한 열매
CARD:57	가루 같은 열매
CARD:58	까칠한 열매
CARD:59	짭짤한 열매
CARD:60	촉촉한 열매
CARD:61	떫은 열매
CARD:62	짠 열매
CARD:63	신 열매
CARD:64	탱탱한 열매
CARD:65	꽉 찬 열매
CARD:66	흙내 나는 열매
CARD:67	비린 열매
CARD:68	냄새 독한 열매
CARD:69	쓴 열매
CARD:70	흐물흐물 열매
CARD:71	말랑말랑 열매
CARD:72	싱싱한 열매
CARD:73	거품 이는 약
CARD:74	기름진 약
CARD:75	반짝이는 약
CARD:76	번쩍이는 약
CARD:77	물렁한 약
CARD:78	역겨운 약
CARD:79	맑은 약
CARD:80	까칠한 약
CARD:81	주르륵 약
CARD:82	젤리 같은 약
CARD:83	톡 쏘는 약
CARD:84	알갱이 든 약
CARD:85	걸쭉한 약
CARD:86	두근두근 약
CARD:87	진득한 약
CARD:88	질척한 약
CARD:89	미끈한 약
CARD:90	미끌미끌 약
CARD:91	찐득한 약
CARD:92	쩍쩍 붙는 약
