DESC:0	쓰면 안심! 아이템 식별!
DESC:1	이걸로 안심! 아이템을 한 번에 식별!
DESC:2	쓰면 어질어질 혼란에 빠진다
DESC:3	쓰면 쿨쿨 잠이 든다
DESC:4	신기해! 개구리가 될 수 있다
DESC:5	신기해! 작아질 수 있다
DESC:6	전투에서 유리! 분신 등장!
DESC:7	공포! 사신이 찾아온다!
DESC:8	녹 방지용! 발톱이나 안장을 코팅!
DESC:9	신기한 샘에 물이 솟는다!
DESC:10	지금 있는 층의 지도를 알 수 있다!
DESC:11	눈 깜짝할 새에 던전 탈출!
DESC:12	유리 세공의 예쁜 물건!
DESC:14	루비 세공의 예쁜 물건!
DESC:15	다이아 세공의 예쁜 물건!
DESC:16	킥 속도가 빨라진다
DESC:17	킥 속도가 훨씬 빨라진다
DESC:18	킥 속도가 확 느려진다
DESC:19	책 읽는 속도가 빨라진다
DESC:20	책 읽는 속도가 훨씬 빨라진다
DESC:21	책 읽는 속도가 확 느려진다
DESC:22	이것만 있으면 기운이 오래간다!
DESC:23	언제 어디서나 기운이 가득!
DESC:24	왠지 기운이 쉽게 줄어든다
DESC:25	HP 회복이 빨라진다
DESC:26	HP 회복이 훨씬 빨라진다
DESC:27	HP 회복이 확 느려진다
DESC:28	달면 큰일! 미스가 많아진다
DESC:29	주변이 조금 밝게 보인다
DESC:30	주변이 꽤 밝게 보인다
DESC:31	개구리를 좋아한다면 딱!
DESC:32	작은 걸 좋아한다면 딱!
DESC:33	변신을 좋아한다면 딱!
DESC:34	대비하면 안심! 도둑 예방에 효과적!
DESC:35	걸은 지도는 잊지 않는다
DESC:36	기운 회복에 먹는 열매
DESC:46	기운이 확실히 회복된다
DESC:47	확 지쳐서 기운이 다운
DESC:48	맛있어서 체력을 회복한다
DESC:49	영양 만점! 체력을 회복!
DESC:50	먹으면 위험! 대미지를 받는다
DESC:51	생명의 근원! HP가 업!
DESC:52	먹으면 대실패! HP가 다운!
DESC:53	먹으면 언제나 레벨이 업!
DESC:54	먹으면 언제나 레벨이 다운!
DESC:55	먹기만 해도 머리가 좋아진다
DESC:56	먹기만 해도 몸이 가벼워진다
DESC:57	불의 속성을 가진 신기한 씨앗
DESC:58	얼음의 속성을 가진 신기한 씨앗
DESC:59	번개의 속성을 가진 신기한 씨앗
DESC:60	바람의 속성을 가진 신기한 씨앗
DESC:61	능력을 지워 버리는 신기한 씨앗
DESC:62	능력을 붙여 주는 신기한 씨앗
DESC:63	능력을 융합할 수 있는 신기한 씨앗
DESC:64	합성 레벨 수를 늘리는 신기한 씨앗
DESC:65	기운 파워가 업한다!
DESC:66	기운 파워가 다운한다!
DESC:67	HP를 회복할 수 있다
DESC:74	HP를 듬뿍 회복할 수 있다
DESC:75	HP도 기운도 완전히 회복할 수 있다
DESC:76	마시면 독을 치료할 수 있다
DESC:77	어떤 이상도 이걸로 안심!
DESC:78	마시면 신기! 주위에 대미지!
DESC:79	모습을 감추고 녀석들을 속여라!
DESC:80	대미지가 가득 찬 신기한 물
DESC:81	마시면 독에 걸려 버린다
DESC:82	돌이 되어 버리는 신기한 물
DESC:83	느긋해지는 신기한 물
DESC:84	빨라지는 신기한 물
DESC:85	폭발하는 녀석에게 효과적!
DESC:86	그냥 짠 물!
DESC:87	마시면 책을 못 읽게 된다
DESC:88	안 보이는 것이 보이게 된다
DESC:89	마시면 저주받은 장비가 벗겨진다
DESC:90	식별한 것을 잊어버린다
DESC:91	마시면 ATB가 절반밖에 안 찬다
DESC:92	마시면 ATB가 절반 차 있다
DESC:93	물을 뜰 수 있는 빈 병
DESC:101	가죽으로 만든 발톱
DESC:102	나무로 만든 발톱
DESC:103	쇠로 만든 발톱
DESC:104	강철로 만든 발톱
DESC:105	미스릴로 만든 발톱
DESC:106	제왕의 풍격을 지닌 발톱
DESC:107	크리스탈을 가공한 발톱
DESC:108	티탄 가공의 강한 발톱
DESC:109	불의 속성을 가진 발톱
DESC:110	얼음의 속성을 가진 발톱
DESC:111	번개의 속성을 가진 발톱
DESC:112	바람의 속성을 가진 발톱
DESC:113	불!얼음!번개!바람! 모든 속성의 발톱
DESC:114	용 타입에 효과적!
DESC:115	거인 타입에 효과적!
DESC:116	망자 타입에 효과적!
DESC:117	부유 타입에 효과적!
DESC:118	식물 타입에 효과적!
DESC:119	독 타입에 효과적!
DESC:120	싸우는 개구리의 든든한 편!
DESC:121	공격 범위가 넓은 발톱
DESC:126	킥 속도가 빨라진다!
DESC:127	부동의 파워가 ATB를 서포트!
DESC:128	적은 미스가 자랑인 물건!
DESC:129	레벨이 오르면 약해진다
DESC:130	무겁지만 파워가 있다!
DESC:131	맞으면 큰 이 파워!
DESC:132	강함의 비밀은 HP에 있다!
DESC:133	HP가 줄수록 파워업!
DESC:134	크리티컬 히트의 찬스!
DESC:135	주머니의 무게가 승부의 열쇠!
DESC:136	한 번 차서 두 번 이득
DESC:137	레벨이 4의 배수인 녀석에게 유효!
DESC:138	레벨이 3의 배수인 녀석에게 유효!
DESC:139	맞으면 녀석의 ATB를 중지할 수 있다
DESC:140	상대를 튕겨서 거리를 둔다!
DESC:141	강하다! 하지만 아프다!
DESC:142	공격 성공! HP 회복의 찬스!
DESC:143	공격이 먹히면 HP 회복의 찬스!
DESC:144	공격 히트! 경험치 겟!
DESC:145	마구 공격! 경험치 겟!
DESC:146	쿨쿨! 상대를 가끔 잠재운다
DESC:147	어질어질! 상대를 가끔 혼란시킨다
DESC:148	앗! 상대를 가끔 중독시킨다
DESC:149	비틀! 상대를 가끔 지치게 한다
DESC:150	딱딱! 상대를 가끔 돌로 만든다
DESC:151	싸우면서 성장하는 발톱
DESC:152	쓰러뜨릴수록 길을 받는 이득 발톱
DESC:153	럭키! 전투 후에 아이템 발견!
DESC:154	수수께끼 많은 아이템
DESC:155	가죽을 댄 안장
DESC:158	나무로 만든 안장
DESC:159	쇠로 만든 안장
DESC:160	강철로 만든 안장
DESC:161	미스릴로 만든 안장
DESC:162	제왕의 풍격을 지닌 안장
DESC:163	크리스탈을 가공한 안장
DESC:164	티탄 가공의 강한 안장
DESC:165	불의 속성을 가진 안장
DESC:166	얼음의 속성을 가진 안장
DESC:167	번개의 속성을 가진 안장
DESC:168	바람의 속성을 가진 안장
DESC:169	불!얼음!번개!바람! 모든 속성의 안장
DESC:170	나쁜 숨결은 싹 탈취!
DESC:171	그 얄미운 공격을 피하기 쉽다
DESC:172	환상의 힘으로 상대의 미스를 부른다
DESC:173	방어의 힘이 자랑인 물건!
DESC:174	조금 무겁지만 특방어가 크다!
DESC:175	쓰기 쉽고 특방어가 크다!
DESC:177	폭발 대미지를 줄인다
DESC:178	큰 녀석의 공격을 줄인다
DESC:180	대미지가 줄지만 길도 준다!
DESC:181	받는 대미지 늘까 안 늘까 운에 달렸다!
DESC:182	혼란에 잘 안 걸린다
DESC:183	독에 잘 안 걸린다
DESC:184	잠에 잘 안 빠진다
DESC:185	피로에 잘 안 걸린다
DESC:186	침묵에 잘 안 걸린다
DESC:187	슬로에 잘 안 걸린다
DESC:188	가볍고 튼튼하고 잘 안 지친다
DESC:189	발밑의 함정을 피하기 쉬워진다
DESC:190	미식별 장비가 잘 저주받지 않는다!
DESC:191	당하면 되갚아 준다
DESC:192	장비하고 있으면 HP가 이득!
DESC:193	유니콘이 도와준다!
DESC:206	이프리트가 도와준다!
DESC:207	시바가 도와준다!
DESC:208	라무가 도와준다!
DESC:209	피닉스가 도와준다!
DESC:210	카번클이 도와준다!
DESC:211	타이탄이 도와준다!
DESC:212	오딘이 도와준다!
DESC:213	리바이어선이 도와준다!
DESC:214	바하무트가 도와준다!
DESC:215	티폰이 도와준다!
DESC:216	파라크가 도와준다!
DESC:217	떨어진 곳에서 차 날려라!
DESC:218	차서 맞으면 아픈 돌!
DESC:219	부딪쳐서 어딘가로 날려 버려라!
DESC:220	여러 가지 아이템을 살 수 있다
DESC:221	어디에 쓰는 걸까? 신기한 아이템
DESC:222	도르 군이 아이템을 가져다준다
DESC:223	아이템 1개를 마을로 보낼 수 있다
DESC:224	던전의 문을 하나 열 수 있다
DESC:225	시프의 보물 상자를 하나 열 수 있다
DESC:226	마을에서 쓰는 신기한 아이템
DESC:227	반짝반짝 닦아서 레벨을 업!
DESC:228	너덜너덜 더럽혀 레벨을 다운!
DESC:229	책갈피를 쓰면 책의 레벨이 업!
DESC:230	불의 힘으로 대미지를 준다
DESC:234	얼음의 힘으로 대미지를 준다
DESC:235	번개의 힘으로 대미지를 준다
DESC:236	바람의 힘으로 대미지를 준다
DESC:237	땅속의 파워로 대미지를 준다
DESC:238	하늘의 파워로 대미지를 준다
DESC:239	HP를 빨아들여 대미지를 준다
DESC:240	알테마가 든 공격용 아이템
DESC:241	홀리가 든 공격용 아이템
DESC:242	프티 메테오가 든 공격용 아이템
DESC:243	메테오가 든 공격용 아이템
DESC:244	플레어가 든 공격용 아이템
DESC:245	기가 플레어가 든 공격용 아이템
DESC:246	그라비가가 든 공격용 아이템
DESC:247	퀘이크가 든 공격용 아이템
DESC:248	웨이브가 든 공격용 아이템
DESC:249	데스가 든 공격용 아이템
DESC:250	데존이 든 공격용 아이템
DESC:251	데존즈가 든 공격용 아이템
DESC:252	바이오가 든 공격용 아이템
DESC:253	바이오버스트가 든 공격용 아이템
DESC:254	필라네스가 든 공격용 아이템
DESC:255	라포스가 든 공격용 아이템
DESC:256	식별되지 않아서 뭔지 모른다
